"行政區","縣市","型態","房價","面積","屋齡","車位","管理"
"臺北市文山區","臺北市","大樓",26700000,48.518,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",28700000,48.518,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",40400000,66.937,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",19200000,34.527,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",19600000,34.273,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",20200000,34.273,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",20200000,34.273,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",20500000,35.529,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",29600000,48.518,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",41300000,68.562,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",37100000,65.077,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",1.8e+07,34.996,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",4.2e+07,68.562,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",28300000,48.518,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",39700000,68.562,0,"有車位","有管理"
"臺北市中正區","臺北市","公寓",1.2e+07,30.053,31,"無車位","無管理"
"臺北市文山區","臺北市","公寓",10300000,29.787,34,"無車位","無管理"
"臺北市文山區","臺北市","大樓",37600000,62.841,0,"有車位","有管理"
"臺北市文山區","臺北市","華廈",3e+07,63.159,7,"有車位","有管理"
"臺北市萬華區","臺北市","公寓",4500000,37.691,29,"無車位","無管理"
"臺北市內湖區","臺北市","公寓",14500000,33.254,27,"無車位","有管理"
"臺北市中山區","臺北市","大樓",28800000,47.039,14,"有車位","有管理"
"臺北市內湖區","臺北市","華廈",19500000,34.074,10,"有車位","有管理"
"臺北市中山區","臺北市","公寓",39200000,80.126,38,"無車位","無管理"
"臺北市中山區","臺北市","公寓",10300000,31.811,36,"無車位","無管理"
"臺北市中山區","臺北市","套房",1.2e+07,20.866,6,"無車位","有管理"
"臺北市信義區","臺北市","公寓",16300000,36.224,34,"無車位","有管理"
"臺北市南港區","臺北市","華廈",15700000,20.688,14,"有車位","有管理"
"臺北市南港區","臺北市","套房",11400000,16.919,5,"無車位","有管理"
"臺北市松山區","臺北市","大樓",4.4e+07,52.541,20,"有車位","有管理"
"臺北市信義區","臺北市","公寓",7600000,11.604,37,"無車位","無管理"
"臺北市南港區","臺北市","華廈",34700000,50.944,1,"有車位","有管理"
"臺北市士林區","臺北市","華廈",37500000,50.569,24,"有車位","無管理"
"臺北市松山區","臺北市","華廈",2.5e+07,34.527,22,"無車位","有管理"
"臺北市士林區","臺北市","大樓",16200000,34.428,10,"有車位","有管理"
"臺北市北投區","臺北市","大樓",20400000,39.153,12,"有車位","有管理"
"臺北市北投區","臺北市","公寓",1.3e+07,27.712,33,"無車位","無管理"
"臺北市士林區","臺北市","公寓",20500000,40.88,42,"無車位","無管理"
"臺北市士林區","臺北市","公寓",16800000,31.811,30,"無車位","有管理"
"臺北市士林區","臺北市","公寓",4500000,35.25,33,"無車位","無管理"
"臺北市士林區","臺北市","大樓",11500000,21.732,10,"有車位","有管理"
"臺北市大安區","臺北市","公寓",2.8e+07,32.026,42,"無車位","無管理"
"臺北市大安區","臺北市","大樓",96500000,53.667,40,"無車位","有管理"
"臺北市大安區","臺北市","公寓",7360000,8.978,26,"無車位","無管理"
"臺北市大安區","臺北市","大樓",7.4e+07,62.094,24,"無車位","無管理"
"臺北市大安區","臺北市","大樓",47500000,61.916,24,"有車位","有管理"
"臺北市大安區","臺北市","華廈",3e+07,31.738,6,"無車位","無管理"
"臺北市中山區","臺北市","套房",11700000,13.903,7,"無車位","有管理"
"臺北市信義區","臺北市","大樓",24500000,31.436,31,"無車位","有管理"
"臺北市士林區","臺北市","公寓",30100000,46.137,26,"有車位","有管理"
"臺北市士林區","臺北市","華廈",49900000,55.512,5,"有車位","有管理"
"臺北市士林區","臺北市","公寓",4.6e+07,86.917,39,"無車位","有管理"
"臺北市松山區","臺北市","華廈",9610000,13.446,38,"無車位","無管理"
"臺北市信義區","臺北市","透天",16100000,47.184,42,"無車位","無管理"
"臺北市內湖區","臺北市","套房",5500000,9.387,18,"無車位","有管理"
"臺北市中山區","臺北市","公寓",16800000,24.512,41,"無車位","無管理"
"臺北市內湖區","臺北市","套房",7600000,26.508,29,"無車位","無管理"
"臺北市內湖區","臺北市","公寓",15500000,28.538,27,"無車位","無管理"
"臺北市大安區","臺北市","公寓",7300000,7.913,26,"無車位","有管理"
"臺北市大安區","臺北市","大樓",1.33e+08,84.594,3,"有車位","有管理"
"臺北市文山區","臺北市","公寓",9e+06,34.67,32,"無車位","無管理"
"臺北市士林區","臺北市","公寓",42500000,40.414,37,"無車位","有管理"
"臺北市大安區","臺北市","套房",20500000,16.916,12,"無車位","有管理"
"臺北市大安區","臺北市","大樓",24500000,31.36,29,"無車位","有管理"
"臺北市大安區","臺北市","大樓",2.4e+07,29.194,32,"無車位","有管理"
"臺北市士林區","臺北市","大樓",33300000,65.5,1,"有車位","無管理"
"臺北市士林區","臺北市","公寓",2e+07,36.2,31,"無車位","無管理"
"臺北市士林區","臺北市","公寓",30700000,51.413,39,"無車位","無管理"
"臺北市士林區","臺北市","公寓",16500000,39.531,43,"無車位","無管理"
"臺北市士林區","臺北市","套房",9400000,11.486,5,"無車位","有管理"
"臺北市北投區","臺北市","公寓",15800000,29.636,39,"無車位","無管理"
"臺北市士林區","臺北市","公寓",14500000,28.393,36,"無車位","有管理"
"臺北市南港區","臺北市","大樓",4690000,25.483,20,"無車位","有管理"
"臺北市南港區","臺北市","大樓",4750000,24.23,20,"有車位","有管理"
"臺北市松山區","臺北市","大樓",44200000,66.756,8,"有車位","有管理"
"臺北市信義區","臺北市","大樓",15200000,25.15,0,"無車位","有管理"
"臺北市信義區","臺北市","大樓",13200000,19.46,0,"無車位","有管理"
"臺北市信義區","臺北市","大樓",15700000,22.972,0,"有車位","有管理"
"臺北市松山區","臺北市","套房",9250000,10.004,6,"有車位","有管理"
"臺北市松山區","臺北市","大樓",29300000,51.803,8,"無車位","有管理"
"臺北市內湖區","臺北市","公寓",16700000,28.979,35,"無車位","無管理"
"臺北市中山區","臺北市","套房",6100000,13.634,34,"無車位","有管理"
"臺北市中山區","臺北市","公寓",16800000,32.113,33,"無車位","無管理"
"臺北市中山區","臺北市","華廈",15300000,24.608,36,"無車位","無管理"
"臺北市萬華區","臺北市","大樓",2.2e+07,37.918,25,"無車位","有管理"
"臺北市大同區","臺北市","公寓",16100000,37.035,32,"無車位","無管理"
"臺北市大同區","臺北市","華廈",23100000,41.125,4,"有車位","有管理"
"臺北市文山區","臺北市","華廈",24900000,50.648,25,"有車位","有管理"
"臺北市文山區","臺北市","公寓",2.4e+07,51.355,34,"無車位","無管理"
"臺北市文山區","臺北市","華廈",10600000,19.336,1,"有車位","無管理"
"臺北市文山區","臺北市","大樓",2.9e+07,58.621,8,"無車位","有管理"
"臺北市文山區","臺北市","公寓",15300000,28.958,32,"無車位","無管理"
"臺北市文山區","臺北市","華廈",24100000,37.18,1,"有車位","有管理"
"臺北市文山區","臺北市","套房",8200000,11.707,6,"無車位","有管理"
"臺北市文山區","臺北市","透天",41500000,87.196,3,"有車位","有管理"
"臺北市文山區","臺北市","大樓",3.9e+07,53.721,8,"有車位","有管理"
"臺北市文山區","臺北市","公寓",12100000,31.82,35,"無車位","無管理"
"臺北市文山區","臺北市","大樓",27600000,49.368,1,"有車位","有管理"
"臺北市文山區","臺北市","公寓",1.8e+07,29.288,19,"無車位","無管理"
"臺北市中正區","臺北市","華廈",16700000,31.983,14,"有車位","有管理"
"臺北市文山區","臺北市","公寓",9800000,29.146,31,"無車位","無管理"
"臺北市文山區","臺北市","大樓",23800000,66.868,19,"有車位","有管理"
"臺北市萬華區","臺北市","公寓",5400000,8.582,44,"無車位","無管理"
"臺北市文山區","臺北市","大樓",1.9e+07,30.743,1,"有車位","有管理"
"臺北市文山區","臺北市","大樓",1.2e+07,24.572,1,"有車位","有管理"
"臺北市文山區","臺北市","大樓",21800000,40.13,1,"有車位","有管理"
"臺北市文山區","臺北市","大樓",17900000,30.743,1,"無車位","有管理"
"臺北市萬華區","臺北市","大樓",1.8e+07,33.493,27,"無車位","有管理"
"臺北市中山區","臺北市","公寓",13200000,18.377,39,"無車位","無管理"
"臺北市內湖區","臺北市","大樓",4e+07,64.463,14,"有車位","有管理"
"臺北市內湖區","臺北市","華廈",2.4e+07,44.44,20,"有車位","有管理"
"臺北市內湖區","臺北市","公寓",14800000,33.596,34,"無車位","無管理"
"臺北市內湖區","臺北市","公寓",13700000,37.788,34,"無車位","無管理"
"臺北市內湖區","臺北市","公寓",10200000,30.235,34,"無車位","無管理"
"臺北市內湖區","臺北市","大樓",15600000,20.549,1,"有車位","無管理"
"臺北市松山區","臺北市","大樓",2.9e+07,39.969,12,"無車位","有管理"
"臺北市松山區","臺北市","套房",11200000,12.829,12,"無車位","有管理"
"臺北市松山區","臺北市","華廈",18800000,28.471,37,"無車位","無管理"
"臺北市信義區","臺北市","套房",11300000,11.906,5,"無車位","有管理"
"臺北市南港區","臺北市","大樓",36500000,64.302,3,"有車位","有管理"
"臺北市北投區","臺北市","公寓",23500000,55.155,25,"有車位","無管理"
"臺北市士林區","臺北市","套房",16200000,17.031,6,"無車位","有管理"
"臺北市北投區","臺北市","華廈",4.8e+07,67.724,26,"有車位","有管理"
"臺北市大安區","臺北市","公寓",2700000,6.785,31,"無車位","無管理"
"臺北市大安區","臺北市","華廈",4.5e+07,48.457,9,"有車位","有管理"
"臺北市北投區","臺北市","華廈",24500000,47.063,23,"有車位","無管理"
"臺北市大安區","臺北市","華廈",9700000,18.371,17,"無車位","有管理"
"臺北市大安區","臺北市","華廈",2.6e+07,27.4,32,"無車位","有管理"
"臺北市大安區","臺北市","套房",1.5e+07,14.181,7,"無車位","有管理"
"臺北市內湖區","臺北市","公寓",1.1e+07,28.033,29,"無車位","無管理"
